csv,http://dbpedia.org/ontology/agent,http://dbpedia.org/ontology/airport,http://dbpedia.org/ontology/album,http://dbpedia.org/ontology/architecturalstructure,http://dbpedia.org/ontology/baseballplayer,http://dbpedia.org/ontology/company,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/currency,http://dbpedia.org/ontology/device,http://dbpedia.org/ontology/informationappliance,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/location,http://dbpedia.org/ontology/musicgenre,http://dbpedia.org/ontology/officeholder,http://dbpedia.org/ontology/organisation,http://dbpedia.org/ontology/person,http://dbpedia.org/ontology/personfunction,http://dbpedia.org/ontology/politicalparty,http://dbpedia.org/ontology/populatedplace,http://dbpedia.org/ontology/royalty,http://dbpedia.org/ontology/settlement,http://dbpedia.org/ontology/soccerclub,http://dbpedia.org/ontology/venue,position,text_dbpedied
CTRL_WIKI_BUS_largest_companies_by_revenue,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,Retail ; Oil and gas ; Oil and gas ; Oil and gas ; Oil and gas ; Electricity ; Oil and gas ; Oil and gas ; Oil and gas ; Automotive ; Automotive ; Electronics ; Conglomerate ; Retail ; Healthcare ; Electronics ; Commodities ; Healthcare ; Automotive ; Healthcare ; Oil and gas ; Construction ; Commodities ; Electronics ; Financials ; Telecommunications ; Financials ; Pharmaceuticals ; Oil and gas ; Financials ; Automotive ; Financials ; Automotive ; Conglomerate ; Automotive ; Retail ; Financials ; Internet ; Pharmaceuticals ; Automotive ; Retail ; Financials ; Oil and gas ; Telecommunications ; Financials ; Financials ; Financials ; Retail ; Conglomerate ; Financials ; Oil and gas
CTRL_WIKI_BUS_largest_companies_by_revenue,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,United States ; China ; Netherlands ; United Kingdom ; China ; China ; Saudi Arabia ; United Kingdom ; United States ; Germany ; Japan ; United States ; United States ; United States ; United States ; South Korea ; Switzerland ; United States ; Germany ; United States ; France ; China ; Singapore ; Taiwan ; Netherlands ; United States ; China ; United States ; United States ; China ; United States ; China ; United States ; Japan ; Japan ; United States ; China ; United States ; United States ; China ; United States ; United States ; Russia ; United States ; China ; Germany ; France ; United States ; United States ; United States ; Russia
CTRL_WIKI_BUS_largest_companies_by_revenue_NOISE2,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,Retaill ; OOil and ggas ; Oil and gass ; Oil and gass ; Oill and gas ; Electriccityy ; Oil and gass ; Oil and gasss ; Oil and gass ; Automotivee ; Automotivvee ; Electronicss ; Conglomeratee ; RRetail ; Healthcaree ; Electronicsss ; Commodities ; Healthcaree ; Automotive ; Healthcareee ; Oil and ggass ; Consttruction ; Coommmodities ; Ellectronicss ; Financialss ; Telecommunicationsss ; Financialls ; Pharmaceuticalss ; Oil and gas ; Financialsss ; Automotivee ; Financialss ; Automotiveee ; Conglomeratee ; Automotive ; Retail ; Finanncialss ; Internet ; Pharmaceuticals ; Automotivee ; Retaill ; Financialsss ; Oiil and ggas ; Telecommunicationss ; Financialss ; Financialsss ; Financialss ; Retaill ; Conglommeratee ; Financialls ; Oil and gass
CTRL_WIKI_BUS_largest_companies_by_revenue_NOISE2,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,United Statess ; Chinaa ; Netherlands ; United Kingdomm ; China ; Chinna ; Saudi Arabia ; United Kingdom ; United States ; Germanyy ; Japan ; United States ; United States ; United Statess ; United States ; South Korea ; Switzerland ; United States ; Germanyy ; United States ; France ; Chinna ; Singapore ; Taiwann ; Netherlandss ; United States ; Chinaa ; United States ; United Statess ; CChina ; United Statess ; CChina ; United States ; Japann ; JJapan ; United States ; China ; United Statess ; United Statess ; China ; United States ; United SStates ; Russiia ; United States ; Chinaa ; Germanyy ; France ; United States ; United Statess ; United States ; Russiaa
CTRL_WIKI_BUS_largest_employers,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United States Department of Defense ; Peoples Liberation Army ; Walmart ; McDonalds ; National Health Service ; China National Petroleum Corporation ; State Grid Corporation of China ; Indian Railways ; Indian Armed Forces ; Hon Hai Precision Industry Foxconn ; China Post Group
CTRL_WIKI_BUS_largest_employers,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,United States ; China ; United States ; United States ; United Kingdom ; China ; China ; India ; India ; Taiwan ; China
CTRL_WIKI_BUS_largest_employers_NOISE2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unnited States Department of Defense ; Peopless Liberation Army ; Walmmart ; McDoonalds ; National Health Service ; China National Petroleum Corporation ; State Grid Corporation of China ; Indian Railwayss ; Indian Armed Forces ; Hon Hai Precision Industry Foxconn ; China Post Group
CTRL_WIKI_BUS_largest_employers_NOISE2,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,United States ; Chinaa ; United Statess ; United Statess ; United Kingdom ; Chinaa ; China ; Indiia ; India ; Taiwan ; China
CTRL_WIKI_BUS_largest_private_and_semiprivate_employers,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Walmart ; China National Petroleum ; China Post Group ; State Grid ; Hon Hai Precision Industry Foxconn ; Volkswagen ; Amazon ; Sinopec Group ; Compass Group ; United States Postal Service
CTRL_WIKI_BUS_largest_private_and_semiprivate_employers_NOISE2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Walmart ; China National Petroleum ; China PPost Group ; State Grid ; Hon Hai Precision Industry Foxconn ; Volkswagen ; Amazon ; Sinopec Groupp ; Compass Group ; United States Postal Service
